index,left,satisfaction_level,last_evaluation,number_project,average_montly_hours,time_spend_company,Work_accident,promotion_last_5years,sales,salary
10438,0,0.53,0.52,2,135,4,0,0,technical,medium
9236,0,0.77,0.53,5,256,3,0,0,accounting,medium
818,1,0.89,0.79,3,149,2,0,0,support,medium
11503,0,0.64,0.63,3,156,6,1,0,support,low
11721,0,0.98,0.74,4,151,3,0,0,sales,medium
5276,0,0.86,0.81,4,179,3,0,0,sales,medium
6863,0,0.65,0.97,3,171,3,0,0,IT,medium
13462,0,0.78,0.5,5,247,4,0,0,product_mng,medium
11975,0,0.59,0.77,3,272,8,0,0,management,high
11461,0,0.57,0.85,4,250,3,1,1,marketing,low
10868,0,0.43,0.71,3,186,2,0,0,accounting,medium
7086,0,0.57,0.91,4,252,4,0,0,IT,low
1690,1,0.45,0.68,4,212,4,1,0,sales,low
8430,0,0.98,0.72,3,262,4,0,0,hr,low
6859,0,0.54,0.73,4,266,3,0,0,product_mng,low
9607,0,0.97,0.6,3,169,2,1,0,product_mng,low
7710,0,0.66,0.78,4,256,3,0,0,accounting,low
11779,0,0.79,0.61,4,173,2,0,0,product_mng,low
13837,0,0.34,0.46,3,155,10,0,0,product_mng,medium
3955,0,0.87,0.6,2,122,2,0,0,IT,low
13829,0,0.49,0.94,4,175,3,0,0,sales,medium
10133,0,0.57,0.54,4,142,4,0,0,technical,medium
3130,0,0.17,0.59,5,250,5,0,0,marketing,low
9892,0,0.5,0.91,4,148,2,0,0,technical,medium
14969,1,0.43,0.46,2,157,3,0,0,sales,medium
3243,0,0.69,0.95,3,126,6,0,0,technical,low
4287,0,0.56,0.66,5,155,2,0,0,sales,medium
11562,0,0.76,0.79,3,247,3,0,0,sales,low
10425,0,0.63,0.54,4,147,4,0,0,technical,low
13606,0,0.54,0.79,5,249,3,1,0,management,high
12085,1,0.11,0.87,6,305,4,0,0,marketing,low
4132,0,0.98,0.8,2,201,2,0,0,sales,high
1704,1,0.38,0.49,2,140,3,0,0,sales,medium
10079,0,0.64,0.86,4,143,2,0,0,support,medium
8640,0,0.34,0.88,5,131,6,0,0,sales,low
1533,1,0.44,0.53,2,146,3,0,0,marketing,low
1653,1,0.1,0.88,7,282,4,0,0,support,low
12698,1,0.43,0.48,2,135,3,0,0,sales,medium
5856,0,0.64,0.7,5,140,4,0,0,support,medium
8879,0,0.85,0.66,3,234,3,0,0,sales,medium
9273,0,0.5,0.64,3,249,2,1,0,technical,low
800,1,0.91,0.97,4,251,6,0,0,technical,low
14064,0,0.71,0.63,3,204,3,0,0,marketing,low
6672,0,0.48,0.52,3,280,2,0,0,hr,medium
6800,0,0.63,0.61,3,205,2,0,0,marketing,medium
855,1,0.42,0.56,2,156,3,0,0,sales,medium
4972,0,0.63,0.8,4,243,2,0,0,sales,medium
10996,0,0.63,0.57,3,242,3,0,0,product_mng,low
3954,0,0.7,0.84,2,114,4,0,0,IT,low
1706,1,0.41,0.54,2,133,3,0,0,sales,medium
6924,0,0.36,0.93,3,162,5,0,0,support,low
8938,0,0.49,0.87,4,171,3,1,0,marketing,medium
6958,0,0.54,0.67,3,154,2,0,0,sales,high
12548,1,0.85,0.82,4,270,5,0,0,sales,low
14902,1,0.45,0.46,2,159,3,0,0,hr,high
4339,0,0.73,0.85,5,224,4,0,0,IT,low
1666,1,0.41,0.51,2,159,3,0,0,IT,medium
14678,1,0.09,0.95,6,292,4,0,0,sales,medium
11736,0,0.23,0.77,5,272,2,0,0,sales,low
6777,0,0.59,0.89,3,192,2,0,0,IT,low
10513,0,0.66,0.9,4,268,3,0,0,technical,medium
13108,0,0.82,0.93,3,247,3,0,0,technical,medium
3386,0,0.56,0.73,4,134,3,0,0,accounting,medium
13503,0,0.29,0.37,6,187,10,1,0,sales,high
10770,0,0.72,0.61,3,175,3,0,0,sales,high
8268,0,0.73,0.74,4,214,3,0,0,sales,high
7847,0,0.78,0.63,6,111,6,0,0,IT,high
4358,0,0.85,0.81,4,189,4,0,0,marketing,medium
1599,1,0.41,0.51,2,144,3,0,0,RandD,low
5592,0,0.49,0.99,3,199,3,0,0,sales,medium
4126,0,0.14,0.76,5,260,6,0,0,technical,high
9036,0,0.82,0.37,2,280,3,0,0,accounting,medium
2378,0,0.67,0.64,4,190,2,0,0,sales,medium
8337,0,0.55,0.49,3,205,3,0,0,sales,medium
2034,0,0.82,0.79,4,224,2,0,0,support,low
3270,0,0.92,0.53,2,249,2,0,0,IT,high
11962,0,0.92,0.64,2,104,7,0,0,product_mng,low
1730,1,0.44,0.55,2,141,3,0,0,support,low
109,1,0.4,0.49,2,155,3,0,0,hr,medium
14252,1,0.45,0.48,2,158,3,0,0,technical,low
4561,0,0.99,0.58,4,138,3,0,0,technical,low
3551,0,0.66,0.68,3,258,3,0,0,technical,low
1729,1,0.86,0.95,4,270,5,0,0,support,low
8383,0,0.92,0.62,3,199,2,0,0,IT,medium
